"","x","y","nlcd_extract_36"
"1",737843.5827,4063821.73,90
"2",737686.045,4063913.633,31
"3",737735.1355,4063807.613,90
"4",737612.3474,4063830.078,21
"5",737599.8144,4063798.304,95
"6",737503.8155,4063764.214,21
"7",737601.3982,4063792.796,95
"8",737602.8651,4063794.724,95
"9",737605.6601,4063800.354,95
"10",737660.1321,4063825.852,82
"11",737601.2443,4063798.344,95
"12",737599.7621,4063800.191,95
"13",737601.2443,4063798.344,95
"14",737669.2507,4063874.3,95
"15",737599.7128,4063801.966,95
"16",737604.5382,4063789.218,95
"17",737598.2953,4063798.262,95
"18",737610.1806,4063798.592,82
"19",737604.5382,4063789.218,95
"20",737601.7062,4063781.7,95
"21",737604.5906,4063787.332,95
"22",737607.3332,4063794.848,95
"23",737602.7634,4063798.386,95
"24",737602.8158,4063796.5,95
"25",737601.4999,4063789.134,95
"26",737601.3459,4063794.682,95
"27",737599.7621,4063800.191,95
"28",737599.7128,4063801.966,95
"29",737602.6095,4063803.934,95
"30",737599.6605,4063803.852,95
"31",737599.5065,4063809.4,95
"32",737601.1426,4063802.006,95
"33",737601.0903,4063803.892,95
"34",737602.8651,4063794.724,95
"35",737596.8284,4063796.334,95
"36",737596.8284,4063796.334,95
"37",737599.9161,4063794.642,95
"38",737602.6618,4063802.048,95
"39",737594.0334,4063790.704,95
"40",737602.7111,4063800.272,95
"41",737594.0334,4063790.704,95
"42",737592.4619,4063792.548,95
"43",737877.9106,4063819.019,82
"44",737604.2303,4063800.315,95
"45",737632.2659,4063808.422,82
"46",737744.1303,4063754.227,82
"47",737601.2443,4063798.344,95
"48",737625.1774,4063741.597,95
"49",737625.0234,4063747.145,95
"50",737550.7612,4063845.027,21
"51",737601.2443,4063798.344,95
"52",737623.6375,4063797.078,82
"53",737604.335,4063796.542,95
"54",737674.5396,4063683.779,95
"55",737731.4162,4063835.272,21
"56",737821.1401,4063824.771,90
"57",737612.522,4063769.007,95
"58",737708.0988,4063869.826,21
