,prob.vec,unique.vec
1,0.002175443,82
2,1.40E-06,81
3,0.008760065,22
4,0.010987717,21
5,0.717093429,95
6,0.172061301,71
7,0.014501979,23
8,4.30E-06,31
9,0.068105964,11
10,6.70E-05,52
11,0.001013494,90
12,0.002945312,24
13,0.00228258,41
14,1.85E-09,42
15,5.96E-08,43
