"","prob.vec","unique.vec"
"1",0.0169939434258494,71
"2",0.00351477130524234,21
"3",0.000990932558393568,81
"4",0.000385264147630975,22
"5",0.00021566148283828,82
"6",2.91227392793206e-07,52
"7",0.00032164046646907,90
"8",0.874418707755522,95
"9",0.0885495822709998,11
"10",9.56919232888539e-05,23
"11",1.68318799423562e-09,24
"12",5.63586607953153e-07,31
"13",4.38151910029734e-08,42
"14",0,43
"15",0.0145129043513857,41
