"","x"
"1",15
"2",15.1666666666667
"3",19.15
"4",14.2166666666667
"5",14.4
"6",15.0166666666667
"7",15.0166666666667
"8",14.9833333333333
"9",14.9833333333333
"10",15.2333333333333
"11",14.7833333333333
"12",14.9833333333333
"13",15.0166666666667
"14",15.1
"15",14.95
"16",15.4166666666667
"17",14.5166666666667
"18",15.0166666666667
"19",15.0333333333333
"20",14.9666666666667
"21",15.1
"22",14.9
"23",15.0166666666667
"24",14.9833333333333
"25",15
"26",14.9833333333333
"27",15.2333333333333
"28",14.7666666666667
"29",15.0666666666667
"30",14.95
"31",15.2166666666667
"32",15.2666666666667
"33",14.5
"34",15.0166666666667
"35",15
"36",15.2166666666667
"37",14.8166666666667
"38",15.0333333333333
"39",14.9333333333333
"40",15
"41",15.0333333333333
"42",15.2166666666667
"43",15.2333333333333
"44",14.5
"45",15.05
"46",14.9833333333333
"47",15
"48",15.2166666666667
"49",14.8
"50",15.1833333333333
"51",15
"52",14.7666666666667
"53",15.0666666666667
"54",15.0333333333333
"55",15.0833333333333
"56",15.4
"57",14.4166666666667
"58",15
"59",15
"60",15
"61",15
"62",15
"63",15
"64",15.2333333333333
"65",14.7666666666667
"66",15.15
"67",15.35
"68",14.5
"69",15.0166666666667
"70",15.0166666666667
"71",14.9666666666667
"72",15.7333333333333
"73",14.2833333333333
"74",15
"75",14.9833333333333
"76",15.0333333333333
"77",15
"78",15.2166666666667
"79",15.15
"80",14.8333333333333
"81",14.8333333333333
"82",14.9833333333333
"83",15.55
"84",14.4333333333333
"85",15.3833333333333
"86",15.9666666666667
"87",13.85
"88",15.2666666666667
"89",14.5166666666667
"90",15
"91",15
"92",15.7166666666667
"93",14.2833333333333
"94",15.2833333333333
"95",14.75
"96",14.95
"97",15.0166666666667
"98",15.0166666666667
"99",15.05
"100",15.4166666666667
"101",14.5666666666667
"102",14.9833333333333
"103",15
"104",14.9666666666667
"105",15.2166666666667
"106",15.2666666666667
"107",14.5
"108",15.0166666666667
"109",15.0333333333333
"110",15.1833333333333
"111",15.2666666666667
"112",14.5
"113",15
"114",15.05
"115",14.9666666666667
"116",15.2166666666667
"117",15.3666666666667
"118",14.4
"119",15.0166666666667
"120",14.9833333333333
"121",15.0166666666667
"122",15
"123",15.2166666666667
"124",14.7833333333333
"125",15
"126",15.4833333333333
"127",14.7
