,Herbaceous,Planted.Cultivated,Wetlands,Shrubland,Forest,Water,Rank
Herbaceous,0,-,-,---,+++,+,2
Planted.Cultivated,+,0,---,---,+++,---,2
Wetlands,+,+++,0,-,+++,+,4
Shrubland,+++,+++,+,0,+++,+++,5
Forest,---,---,---,---,0,---,0
Water,-,+++,-,---,+++,0,2
