"","x","y","nlcd_extract_22"
"1",345590.5938,4742608.601,95
"2",345163.47,4743375.485,95
"3",345164.8596,4743375.454,95
"4",345205.5793,4742883.896,95
"5",345156.5608,4743370.085,95
"6",345374.6934,4742948.538,95
"7",345231.661,4743316.622,95
"8",345246.9686,4743269.947,95
"9",345495.8552,4742636.613,95
"10",345075.5149,4743464.57,95
"11",345452.6176,4742656.138,95
"12",345244.7702,4743292.217,95
"13",345663.3366,4742569.862,95
"14",345304.372,4743214.993,95
"15",345181.8612,4742858.43,95
"16",345313.1534,4742877.702,95
"17",345158.0032,4743194.172,95
"18",345179.0819,4742858.493,95
"19",345273.3633,4742926.815,95
"20",345440.5199,4742663.742,95
"21",345483.6131,4742579.446,95
"22",345625.1997,4742692.932,95
"23",345471.5176,4742587.161,95
"24",345443.384,4742667.455,95
"25",345443.3417,4742665.567,95
"26",345489.0504,4742577.546,95
"27",345214.1029,4742837.373,95
"28",345516.1882,4742573.16,95
"29",345183.0868,4742854.736,95
"30",345182.1957,4742873.311,95
"31",345028.8199,4743024.864,95
"32",344989.2224,4742657.217,52
"33",345027.7271,4742856.341,95
"34",345455.6462,4742667.18,95
"35",345422.1766,4742575.269,95
"36",345471.4354,4742583.497,95
"37",345595.9465,4742602.926,95
"38",345515.1716,4742586.182,95
"39",345515.2139,4742588.07,95
"40",345602.5649,4742595.333,95
"41",345516.5219,4742588.041,95
"42",345181.8612,4742858.43,95
"43",345598.6442,4742602.865,95
"44",345419.4826,4742695.768,95
"45",345510.8575,4742638.165,95
"46",345597.4607,4742608.447,95
"47",345516.4796,4742586.153,95
"48",345516.4796,4742586.153,95
"49",345061.2677,4743013.023,95
"50",345180.514,4742860.349,95
"51",344996.4563,4742557.059,95
"52",344933.2241,4742654.811,52
"53",345439.2543,4742665.659,95
"54",345437.8645,4742665.69,95
"55",344980.9714,4742959.277,95
"56",345440.6445,4742669.294,95
"57",345633.7289,4742646.521,95
"58",345180.5564,4742862.237,95
"59",345455.3547,4742654.187,95
"60",345452.4931,4742650.585,95
"61",345425.8939,4742678.958,95
"62",345452.6176,4742656.138,95
"63",345522.8907,4742565.677,95
"64",345516.4372,4742584.265,95
"65",345448.3826,4742587.681,95
"66",345448.4455,4742652.454,95
"67",345164.2072,4742862.605,95
"68",345443.2993,4742663.68,95
"69",345412.4065,4742686.594,95
"70",346211.0171,4742735.38,95
"71",345452.5329,4742652.362,95
"72",345451.225,4742652.391,95
"73",345441.1029,4742689.728,95
"74",345453.965,4742654.219,95
"75",345452.5753,4742654.25,95
"76",345515.2139,4742588.07,95
"77",345516.3974,4742582.488,95
"78",345297.147,4742591.075,95
"79",345408.4228,4742629.353,95
"80",345451.3097,4742656.167,95
"81",345516.3974,4742582.488,95
"82",345451.225,4742652.391,95
"83",345449.7107,4742646.87,95
"84",345444.6073,4742663.65,95
"85",345450.0445,4742661.751,95
"86",345455.4369,4742657.852,95
"87",345519.259,4742586.091,95
"88",345449.9199,4742656.198,95
"89",345448.3209,4742646.901,95
"90",345451.1004,4742646.839,95
"91",345449.7954,4742650.646,95
"92",345448.3633,4742648.789,95
"93",345449.6284,4742643.205,95
"94",345452.5753,4742654.25,95
"95",345440.5199,4742663.742,95
"96",345452.2838,4742641.257,95
"97",345447.3045,4742659.923,95
"98",345448.3633,4742648.789,95
"99",345452.4507,4742648.697,95
"100",345448.5302,4742656.229,95
"101",345451.3495,4742657.944,95
"102",345451.225,4742652.391,95
"103",345447.2223,4742656.259,95
"104",345447.0553,4742648.818,95
"105",345451.2673,4742654.279,95
"106",345666.5924,4742653.118,95
"107",345449.8776,4742654.31,95
"108",345448.3633,4742648.789,95
"109",345451.225,4742652.391,95
"110",345448.4455,4742652.454,95
"111",345449.7954,4742650.646,95
