"","x"
"1",42
"2",42
"3",42
"4",42
"5",42
"6",42
"7",52
"8",42
"9",42
"10",42
"11",52
"12",42
"13",42
"14",42
"15",42
"16",71
"17",71
"18",42
"19",42
"20",42
"21",52
"22",52
"23",42
"24",42
"25",42
"26",95
"27",52
"28",42
"29",42
"30",42
"31",52
"32",52
"33",52
"34",52
"35",52
"36",42
"37",42
"38",52
"39",52
"40",52
"41",42
"42",42
"43",42
"44",52
"45",52
"46",52
"47",52
"48",42
"49",42
"50",42
"51",52
"52",52
"53",52
"54",42
"55",42
"56",42
"57",42
"58",42
"59",95
"60",42
"61",42
"62",42
"63",42
"64",42
"65",42
"66",42
"67",42
"68",42
"69",42
"70",42
"71",42
"72",95
"73",52
"74",42
"75",42
"76",42
"77",42
"78",52
"79",52
"80",42
"81",42
"82",42
"83",82
"84",82
"85",52
"86",42
"87",42
"88",95
"89",95
"90",42
"91",82
"92",42
"93",95
"94",95
"95",82
"96",82
"97",95
"98",95
"99",95
"100",82
"101",82
"102",82
"103",82
"104",95
"105",95
"106",95
"107",52
"108",42
"109",82
"110",95
"111",95
"112",95
"113",42
"114",95
"115",95
"116",95
"117",52
"118",95
"119",95
"120",95
"121",95
"122",95
"123",95
"124",95
"125",95
"126",82
"127",95
"128",95
"129",95
"130",82
"131",95
"132",95
"133",95
"134",82
"135",95
"136",95
"137",95
"138",95
"139",95
"140",95
"141",95
"142",95
"143",82
"144",95
"145",95
"146",95
"147",95
"148",95
"149",95
"150",82
"151",82
"152",95
"153",82
"154",82
"155",82
"156",52
"157",95
"158",95
"159",95
"160",95
"161",95
"162",95
"163",11
"164",95
"165",11
"166",95
"167",95
