event-id,visible,timestamp,location-long,location-lat,acceleration-raw-x,acceleration-raw-y,acceleration-raw-z,bar:barometric-height,battery-charge-percent,battery-charging-current,external-temperature,gps:hdop,gps:satellite-count,gps-time-to-fix,ground-speed,heading,height-above-msl,import-marked-outlier,gls:light-level,mag:magnetic-field-raw-x,mag:magnetic-field-raw-y,mag:magnetic-field-raw-z,orn:transmission-protocol,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
10475700342,TRUE,30:39.0,-121.94384,38.11549759,54,-299,952,0,100,0,23,1.3,9,83.4,0,0,-1,FALSE,0,-0.359,0.273,0.283,GPRS,4179,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10475700343,TRUE,59:29.0,-121.94384,38.11550522,42,-473,874,0,100,0,24,1.1,9,13.51,0,0,5,FALSE,0,-0.278,0.259,0.265,GPRS,4165,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10486631751,TRUE,13:57.0,-121.9438324,38.11548996,29,-120,995,0,99,0,30,2,4,38.39,0,0,-6,FALSE,0,-0.396,0.254,0.269,GPRS,4143,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10486631752,TRUE,43:29.0,-121.9438324,38.11548615,121,166,977,0,94,0,22,1.7,4,10.48,0,0,-6,FALSE,0,-0.616,-0.078,0.196,GPRS,4115,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10486631753,TRUE,13:31.0,-121.9438477,38.11551666,265,-138,946,0,94,0,24,1.6,4,12.49,0.277777778,0,0,FALSE,0,-0.445,-0.157,0.207,GPRS,4112,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10486631754,TRUE,43:40.0,-121.94384,38.11545181,89,-186,972,0,94,0,22,1.4,6,21.49,0,0,10,FALSE,128,-0.535,0.084,0.308,GPRS,4115,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10486631755,TRUE,13:28.0,-121.9437561,38.1154213,-80,-80,990,0,94,0,21,1.9,6,9.49,0,0,14,FALSE,48,-0.607,0.193,0.271,GPRS,4112,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10486631756,TRUE,43:31.0,-121.9437866,38.11561584,-17,-11,999,0,93,0,24,1.1,7,12.5,0.277777778,343,-48,FALSE,160,-0.562,0.309,0.257,GPRS,4110,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10486631757,TRUE,14:07.0,-121.9438324,38.11550903,-80,7,941,0,94,2,19,1.7,7,48.46,0,0,-8,FALSE,2047,-0.536,-0.019,0.271,GPRS,4115,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10486631758,TRUE,43:30.0,-121.9438477,38.11550903,31,31,996,0,94,0,27,1.8,7,11.63,0,0,-5,FALSE,896,-0.544,0.255,0.257,GPRS,4115,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10486631759,TRUE,13:28.0,-121.9441376,38.1146698,-13,12,1177,0,95,6,24,1.6,7,9.59,2.5,254,-3,FALSE,2047,-0.195,-0.071,0.255,GPRS,4118,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10486631760,TRUE,43:41.0,-121.9438171,38.11553192,8,-70,991,0,97,0,32,0.9,10,22.57,0,0,-4,FALSE,1792,-0.312,0.28,0.26,GPRS,4129,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10486631761,TRUE,13:27.0,-121.9437485,38.11554337,123,-123,986,0,98,0,32,1.1,9,8.49,0,0,-6,FALSE,224,-0.333,-0.193,0.224,GPRS,4135,gps,Circus cyaneus,191627,NOHA 627,"Northern Harrier (Breeding), Ornitela, Suisun Marsh"
