FID,OBJECTID,timestamp,long,lat,accelerati,accelera1,accelera2,activity_c,comments,external_t,satellite_,speed,gsm_signal,height,import_mar,tag_voltag,sensor_typ,individual,tag_ident,ind_ident,study_name,date,time,OBJECTID_1,NVCSName,NVCSLevel,MapClass,MapClassCo,Original_2,Original_1,Cov_2015,Dist_2015,Ht_2015,Notes_2015,ID_2015,Habitat,MgmtRegion,Lepidium,CalVegName,CalVegCode,CWHRType,CWHRCode,GlobalRank,StateRank,Rare,CaCode,NVCSAllian,NVCSGroup,NVCSMG,UID,Acres,Hectares,Shape_Leng,Shape_Area
369,1676,2019-06-05 16:00:00,-122.011183,38.236966,0,0,0,0,SIMP01,38,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
370,1677,2019-06-05 17:02:00,-122.011183,38.237049,0,0,0,0,SIMP01,52,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
371,1678,2019-06-05 18:00:00,-122.011216,38.236983,0,0,0,0,SIMP01,63,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
372,1679,2019-06-05 19:00:00,-122.011683,38.237049,0,0,0,0,SIMP01,49,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
373,1680,2019-06-05 20:00:00,-122.011866,38.236866,0,0,0,0,SIMP01,61,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
374,1681,2019-06-05 21:02:00,-122.011366,38.237016,0,0,0,0,SIMP01,60,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
375,1683,2019-06-05 23:00:00,-122.011233,38.237333,0,0,0,0,SIMP01,51,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
376,1684,2019-06-06 00:01:00,-122.011183,38.237016,0,0,0,0,SIMP01,43,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
377,1685,2019-06-06 21:02:00,-122.014083,38.237083,0,0,0,0,SIMP01,55,0,0,0,0,0,3760,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
378,1688,2019-06-07 00:01:00,-122.011166,38.236933,0,0,0,0,SIMP01,34,0,0,0,0,0,3760,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
379,1689,2019-06-07 01:02:00,-122.0111,38.236949,0,0,0,0,SIMP01,30,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
380,1691,2019-06-07 18:00:00,-122.011216,38.236949,0,0,0,0,SIMP01,61,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
381,1692,2019-06-08 00:01:00,-122.0112,38.237016,0,0,0,0,SIMP01,35,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
382,1693,2019-06-08 13:00:00,-122.011166,38.236983,0,0,0,0,SIMP01,24,0,0,0,0,0,3860,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
383,1694,2019-06-08 18:00:00,-122.0112,38.236933,0,0,0,0,SIMP01,61,0,0,0,0,0,3860,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
384,1695,2019-06-09 00:01:00,-122.0112,38.236999,0,0,0,0,SIMP01,43,0,0,0,0,0,3860,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
385,1696,2019-06-09 01:00:00,-122.011166,38.237049,0,0,0,0,SIMP01,35,0,0,0,0,0,3860,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
386,1697,2019-06-09 02:02:00,-122.01155,38.236916,0,0,0,0,SIMP01,32,0,0,0,0,0,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
387,1698,2019-06-09 03:00:00,-122.011333,38.237016,0,0,0,0,SIMP01,29,0,0,0,0,0,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
388,1699,2019-06-09 04:00:00,-122.011166,38.236999,0,0,0,0,SIMP01,30,0,0,0,0,0,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
389,1700,2019-06-09 13:00:00,-122.0113,38.236849,0,0,0,0,SIMP01,23,0,0,0,0,0,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
390,1701,2019-06-09 13:16:00,-122.011383,38.236849,0,0,0,0,SIMP01,27,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
391,1702,2019-06-09 13:17:00,-122.011416,38.236799,0,0,0,0,SIMP01,27,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
392,1703,2019-06-09 14:03:00,-122.011166,38.236966,0,0,0,0,SIMP01,27,0,0,0,0,0,3840,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
393,1704,2019-06-09 18:00:00,-122.011183,38.236933,0,0,0,0,SIMP01,61,0,0,0,0,0,3840,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
394,1705,2019-06-10 00:01:00,-122.011266,38.237016,0,0,0,0,SIMP01,45,0,0,0,0,0,3840,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
395,1706,2019-06-10 01:00:00,-122.01115,38.236899,0,0,0,0,SIMP01,38,0,0,0,0,0,3840,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
396,1707,2019-06-10 02:02:00,-122.011233,38.236999,0,0,0,0,SIMP01,34,0,0,0,0,0,3810,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
397,1708,2019-06-10 03:00:00,-122.011116,38.236916,0,0,0,0,SIMP01,30,0,0,0,0,0,3810,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
398,1709,2019-06-10 04:00:00,-122.01115,38.236899,0,0,0,0,SIMP01,27,0,0,0,0,0,3810,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
399,1717,2019-06-10 20:00:00,-122.011216,38.236999,0,0,0,0,SIMP01,64,0,0,0,0,0,3850,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
400,1718,2019-06-10 21:00:00,-122.01125,38.236916,0,0,0,0,SIMP01,70,0,0,0,0,0,3850,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
401,1720,2019-06-10 23:00:00,-122.0112,38.236933,0,0,0,0,SIMP01,65,0,0,0,0,0,3860,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
402,1721,2019-06-11 00:00:00,-122.0112,38.236999,0,0,0,0,SIMP01,47,0,0,0,0,0,3860,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
403,1722,2019-06-11 01:00:00,-122.01105,38.236983,0,0,0,0,SIMP01,43,0,0,0,0,0,3860,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
404,1725,2019-06-11 04:00:00,-122.01135,38.236833,0,0,0,0,SIMP01,28,0,0,0,0,0,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
405,1726,2019-06-11 13:00:00,-122.011366,38.236999,0,0,0,0,SIMP01,22,0,0,0,0,0,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
406,1735,2019-06-11 22:02:00,-122.0111,38.237049,0,0,0,0,SIMP01,70,0,0,0,0,0,3870,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,16048,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus Association,114,10-25%,Not evident,1-2m,V160608b,Field Checked (post map),Leveed (not tidal),1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA16048,13.59879971,5.503240108,1844.10408,55029.87477
