FID,OBJECTID,timestamp,long,lat,accelerati,accelera1,accelera2,activity_c,comments,external_t,satellite_,speed,gsm_signal,height,import_mar,tag_voltag,sensor_typ,individual,tag_ident,ind_ident,study_name,date,time,OBJECTID_1,NVCSName,NVCSLevel,MapClass,MapClassCo,Original_2,Original_1,Cov_2015,Dist_2015,Ht_2015,Notes_2015,ID_2015,Habitat,MgmtRegion,Lepidium,CalVegName,CalVegCode,CWHRType,CWHRCode,GlobalRank,StateRank,Rare,CaCode,NVCSAllian,NVCSGroup,NVCSMG,UID,Acres,Hectares,Shape_Leng,Shape_Area
10,1192,2019-03-13 18:00:00,-122.019566,38.224699,0,0,0,0,SIMP01,15,0,0,0,0,0,4120,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,11853,"Schoenoplectus (acutus, californicus)",Alliance,"Schoenoplectus (acutus, californicus) - Typha (angustifolia, latifolia, domingensis) Mapping Unit",7111300,"Schoenoplectus (acutus, californicus)-Typha (angustifolia, latifolia, domingensis) Association",157,50-75%,Not evident,2-5m, ,Photo interpretation,Tidal,1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW, , ,N,52.128.00,"Schoenoplectus (acutus, californicus)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA11853,3.752389908,1.518540025,1318.971686,15184.59728
11,1193,2019-03-13 20:00:00,-122.018249,38.225249,0,0,0,0,SIMP01,35,0,0,0,0,0,4120,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,11855,Schoenoplectus americanus,Alliance,Schoenoplectus americanus Herbaceous Alliance,8211100,Schoenoplectus americanus-Potentilla anserina Association,112,50-75%,Not evident,1-2m, ,Photo interpretation,Tidal,1,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S3,Y,52.111.00,Schoenoplectus americanus,Southwestern North American alkali marsh/seep vegetation,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA11855,1.621979952,0.656392992,902.7689021,6563.584667
12,456,2018-07-10 12:00:00,-122.030982,38.206533,0,0,0,0,SIMP01,26,0,0,0,0,0,4050,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,12769,Distichlis spicata - Sarcocornia pacifica,Association,Distichlis spicata - Salicornia pacifica Association,8111205,Distichlis spicata-Salicornia pacifica Association,148,25-50%,Not evident,<0.5m, ,Photo interpretation,Tidal,2,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,41.200.20,Distichlis spicata,Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA12769,1.403120041,0.56782198,330.5838414,5677.865179
13,590,2018-07-21 15:00:00,-122.030182,38.221266,0,0,0,0,SIMP01,24,0,0,0,0,0,4160,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,13887,Lacustrine, ,Slough Mapping Unit,6,Slough mu,6,N/A,N/A,N/A, ,Photo interpretation,Sloughs,0,Absent,Developed Water Feature,IW,Lacustrine,LAC, , , , , , , ,SUMA13887,1737.01001,702.973999,184435.6691,7028846.911
14,614,2018-09-29 18:00:00,-122.035016,38.21455,0,0,0,0,SIMP01,33,0,0,0,0,0,3860,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,13887,Lacustrine, ,Slough Mapping Unit,6,Slough mu,6,N/A,N/A,N/A, ,Photo interpretation,Sloughs,0,Absent,Developed Water Feature,IW,Lacustrine,LAC, , , , , , , ,SUMA13887,1737.01001,702.973999,184435.6691,7028846.911
15,644,2018-10-01 14:00:00,-122.046649,38.212883,0,0,0,0,SIMP01,21,0,0,0,0,0,3830,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,13887,Lacustrine, ,Slough Mapping Unit,6,Slough mu,6,N/A,N/A,N/A, ,Photo interpretation,Sloughs,0,Absent,Developed Water Feature,IW,Lacustrine,LAC, , , , , , , ,SUMA13887,1737.01001,702.973999,184435.6691,7028846.911
16,766,2018-10-11 12:00:00,-122.047166,38.221699,0,0,0,0,SIMP01,30,0,0,0,0,0,3790,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,13887,Lacustrine, ,Slough Mapping Unit,6,Slough mu,6,N/A,N/A,N/A, ,Photo interpretation,Sloughs,0,Absent,Developed Water Feature,IW,Lacustrine,LAC, , , , , , , ,SUMA13887,1737.01001,702.973999,184435.6691,7028846.911
17,864,2018-10-19 17:02:00,-122.043549,38.222766,0,0,0,0,SIMP01,28,0,0,0,0,0,3770,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,13887,Lacustrine, ,Slough Mapping Unit,6,Slough mu,6,N/A,N/A,N/A, ,Photo interpretation,Sloughs,0,Absent,Developed Water Feature,IW,Lacustrine,LAC, , , , , , , ,SUMA13887,1737.01001,702.973999,184435.6691,7028846.911
18,979,2019-01-02 18:00:00,-122.048883,38.213733,0,0,0,0,SIMP01,23,0,0,0,0,0,3760,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,13887,Lacustrine, ,Slough Mapping Unit,6,Slough mu,6,N/A,N/A,N/A, ,Photo interpretation,Sloughs,0,Absent,Developed Water Feature,IW,Lacustrine,LAC, , , , , , , ,SUMA13887,1737.01001,702.973999,184435.6691,7028846.911
19,1285,2019-03-26 22:00:00,-122.028882,38.224482,0,0,0,0,SIMP01,23,0,0,0,0,0,4140,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,13887,Lacustrine, ,Slough Mapping Unit,6,Slough mu,6,N/A,N/A,N/A, ,Photo interpretation,Sloughs,0,Absent,Developed Water Feature,IW,Lacustrine,LAC, , , , , , , ,SUMA13887,1737.01001,702.973999,184435.6691,7028846.911
20,2036,2019-07-17 19:00:00,-122.05245,38.213083,0,0,0,0,SIMP01,35,0,0,0,0,0,4160,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,13887,Lacustrine, ,Slough Mapping Unit,6,Slough mu,6,N/A,N/A,N/A, ,Photo interpretation,Sloughs,0,Absent,Developed Water Feature,IW,Lacustrine,LAC, , , , , , , ,SUMA13887,1737.01001,702.973999,184435.6691,7028846.911
