event-id,visible,timestamp,x,y,acceleration-x,acceleration-y,acceleration-z,gps:activity-count,comments,external-temperature,gps:satellite-count,ground-speed,gsm:gsm-signal-strength,height-above-ellipsoid,import-marked-outlier,mw:activity-count,tag-voltage,transmission-timestamp,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone
7941746230,TRUE,00:00.0,-121.934599,38.115233,,,,,DRIB61,23,,,,,FALSE,,4030,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593394.0985,4219136.488,10N
7941746231,TRUE,00:00.0,-121.934566,38.115283,,,,,DRIB61,33,,,,,FALSE,,4030,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593396.9277,4219142.069,10N
7941746232,TRUE,00:00.0,-121.934549,38.115283,,,,,DRIB61,27,,,,,FALSE,,4030,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593398.418,4219142.086,10N
7942124361,TRUE,01:00.0,-121.956316,38.115466,,,,,DRIB61,23,,,,,FALSE,,4020,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",591490.0231,4219140.71,10N
7942124362,TRUE,00:00.0,-121.949233,38.113216,,,,,DRIB61,38,,,,,FALSE,,4020,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592113.7665,4218898.059,10N
7942124363,TRUE,00:00.0,-121.949216,38.113783,,,,,DRIB61,39,,,,,FALSE,,4020,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592114.5446,4218960.99,10N
7942124364,TRUE,00:00.0,-121.949216,38.113766,,,,,DRIB61,43,,,,,FALSE,,4020,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592114.566,4218959.103,10N
7945689318,TRUE,00:00.0,-121.948883,38.11425,,,,,DRIB61,31,,,,,FALSE,,3940,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592143.1503,4219013.138,10N
7945689319,TRUE,00:00.0,-121.934216,38.114883,,,,,DRIB61,34,,,,,FALSE,,3940,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593428.1196,4219098.037,10N
7945689320,TRUE,00:00.0,-121.934216,38.1149,,,,,DRIB61,35,,,,,FALSE,,3940,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593428.0979,4219099.924,10N
7945689321,TRUE,00:00.0,-121.934183,38.114883,,,,,DRIB61,28,,,,,FALSE,,3940,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593431.0125,4219098.071,10N
7951941240,TRUE,00:00.0,-121.946483,38.11395,,,,,DRIB61,20,,,,,FALSE,,3910,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592353.9229,4218982.236,10N
7951941241,TRUE,00:00.0,-121.948933,38.113266,,,,,DRIB61,32,,,,,FALSE,,3910,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592140.0034,4218903.905,10N
7951941242,TRUE,00:00.0,-121.948516,38.114266,,,,,DRIB61,34,,,,,FALSE,,3910,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592175.303,4219015.278,10N
7951941243,TRUE,00:00.0,-121.948516,38.114216,,,,,DRIB61,29,,,,,FALSE,,3910,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592175.3659,4219009.73,10N
7950079374,TRUE,03:00.0,-121.950233,38.11415,,,,,DRIB61,26,,,,,FALSE,,3840,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592024.9287,4219000.703,10N
7950079375,TRUE,00:00.0,-121.930066,38.111283,,,,,DRIB61,30,,,,,FALSE,,3840,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593796.5291,4218702.771,10N
7950079376,TRUE,00:00.0,-121.930016,38.111316,,,,,DRIB61,33,,,,,FALSE,,3840,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593800.8703,4218706.483,10N
7950079377,TRUE,00:00.0,-121.930049,38.111316,,,,,DRIB61,33,,,,,FALSE,,3840,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593797.9772,4218706.45,10N
7954605814,TRUE,00:00.0,-121.944766,38.11195,,,,,DRIB61,19,,,,,FALSE,,3910,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592506.9664,4218762.028,10N
7954605815,TRUE,00:00.0,-121.952333,38.1152,,,,,DRIB61,25,,,,,FALSE,,3910,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",591839.518,4219115.129,10N
7954605816,TRUE,00:00.0,-121.945449,38.1131,,,,,DRIB61,38,,,,,FALSE,,3910,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592445.6399,4218888.95,10N
7954605817,TRUE,00:00.0,-121.948199,38.114766,,,,,DRIB61,22,,,,,FALSE,,3910,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592202.464,4219071.072,10N
7951941236,TRUE,04:00.0,-121.946933,38.1133,,,,,DRIB61,27,,,,,FALSE,,3830,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592315.292,4218909.665,10N
7951941237,TRUE,00:00.0,-121.930232,38.11135,,,,,DRIB61,33,,,,,FALSE,,3830,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593781.8905,4218710.038,10N
7951941238,TRUE,00:00.0,-121.930232,38.111366,,,,,DRIB61,32,,,,,FALSE,,3830,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593781.87,4218711.813,10N
7951941239,TRUE,00:00.0,-121.946866,38.113283,,,,,DRIB61,32,,,,,FALSE,,3830,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592321.187,4218907.845,10N
7954041929,TRUE,03:00.0,-121.930049,38.111316,,,,,DRIB61,32,,,,,FALSE,,3830,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593797.9772,4218706.45,10N
7954041930,TRUE,00:00.0,-121.929999,38.111266,,,,,DRIB61,31,,,,,FALSE,,3830,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593802.4246,4218700.953,10N
7954041931,TRUE,00:00.0,-121.929982,38.111266,,,,,DRIB61,21,,,,,FALSE,,3830,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",593803.915,4218700.97,10N
7954041932,TRUE,00:00.0,-121.946916,38.1133,,,,,DRIB61,24,,,,,FALSE,,3830,,gps,Circus cyaneus,48505479473,DRIB 61.1,"Northern Harrier (Wintering), Suisun Marsh",592316.7823,4218909.682,10N
