x,y,time
609464.6224,4248418.103,0
609489.2114,4248423.517,1
609489.8836,4248423.103,2
609493.6406,4248440.936,3
609483.8972,4248422.175,4
609488.545,4248423.508,5
609487.2926,4248417.564,6
609488.591,4248420.122,7
610204.6525,4248894.328,8
610192.3094,4248870.873,9
610192.3094,4248870.873,10
610500.022,4249567.313,11
611224.7699,4249497.266,12
618038.6762,4254331.593,13
619140.9936,4257663.074,14
619172.5263,4257781.671,15
586124.2919,4349964.113,16
586115.6876,4349968.675,17
586106.5049,4349966.033,18
586100.5463,4349969.355,19
587684.3561,4349967.944,20
588010.1521,4349260.284,21
588004.1014,4349271.648,22
587663.5865,4349122.586,23
589186.8309,4349945.176,24
589789.8295,4350836.603,25
591597.7604,4356437.43,26
593585.1749,4360217.266,27
598666.1964,4363800.101,28
596724.6388,4372106.78,29
597452.2582,4381635.329,30
599128.0055,4393143.676,31
593464.2533,4406903.165,32
594529.3754,4422744.902,33
597318.4153,4436249.175,34
602478.1196,4447958.174,35
605928.1877,4463804.011,36
607927.1464,4481804.833,37
599761.9124,4494279.002,38
585000.4791,4501329.853,39
575019.5634,4501049.633,40
574251.2481,4501251.124,41
572225.2227,4500590.846,42
572614.2747,4500318.944,43
572630.4873,4500310.209,44
572625.4429,4500298.302,45
572628.5894,4500306.379,46
572454.6395,4500415.636,47
572457.8729,4500414.821,48
572448.7641,4500422.778,49
572457.2485,4500412.697,50
572557.0358,4500234.958,51
572555.7375,4500235.792,52
572557.6519,4500237.928,53
572567.7535,4500260.472,54
572547.1041,4500261.117,55
572410.7308,4500684.971,56
571439.6783,4501313.774,57
570530.2408,4501244.106,58
573730.9574,4510636.095,59
574829.8582,4515426.743,60
578187.1791,4526190.683,61
585811.4857,4535192.441,62
591106.9762,4552074.748,63
595550.838,4558564.934,64
600492.3408,4565256.011,65
604690.1348,4569797.11,66
607605.7745,4574382.727,67
614186.1847,4581452.065,68
621454.6784,4587253.284,69
626425.8397,4593866.049,70
633572.9206,4599734.231,71
639919.3617,4606730.345,72
645872.51,4619761.794,73
642818.9069,4628063.928,74
641291.0776,4633318.11,75
641065.0632,4635323.747,76
637936.6216,4638270.841,77
633235.6728,4641704.798,78
630629.4145,4646688.695,79
630591.1139,4649010.29,80
630358.3238,4647398.916,81
629835.2885,4646640.232,82
629840.9788,4646640.336,83
629832.1117,4646641.021,84
629833.2445,4646648.245,85
629832.6432,4646646.539,86
629846.7234,4646637.475,87
629835.882,4646642.361,88
629832.589,4646649.504,89
629827.6394,4646643.481,90
629832.713,4646642.727,91
629838.3646,4646644.949,92
629828.8652,4646645.622,93
629813.7065,4646644.498,94
629837.7246,4646645.361,95
629840.4782,4646633.124,96
629837.2162,4646638.572,97
629841.5026,4646646.277,98
629837.0536,4646647.467,99
629839.0975,4646639.454,100
629839.8382,4646633.536,101
629841.7815,4646631.029,102
629842.2433,4646640.359,103
629838.504,4646637.325,104
629834.6562,4646640.22,105
629843.5388,4646638.688,106
629844.1943,4646637.429,107
629841.6266,4646639.5,108
629845.4821,4646636.181,109
629844.1091,4646642.088,110
629838.3801,4646644.102,111
