event-id,visible,timestamp,location-long,location-lat,acceleration-x,acceleration-y,acceleration-z,gps:activity-count,id,external-temperature,gps:satellite-count,ground-speed,gsm:gsm-signal-strength,height-above-ellipsoid,import-marked-outlier,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,x,y,utm-zone
7932416281,TRUE,8/22/18 21:00,-121.601033,38.4635,,,,,SIMP01,46,,,,,FALSE,4110,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622051.2551,4258170.273,10N
7932416282,TRUE,8/22/18 22:00,-121.601683,38.463966,,,,,SIMP01,38,,,,,FALSE,4110,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621993.7589,4258221.123,10N
7932416327,TRUE,8/22/18 23:02,-121.60025,38.463133,,,,,SIMP01,37,,,,,FALSE,4130,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622120.1892,4258130.586,10N
7932416328,TRUE,8/23/18 0:00,-121.600566,38.463433,,,,,SIMP01,34,,,,,FALSE,4130,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622092.1129,4258163.457,10N
7932416329,TRUE,8/23/18 1:00,-121.599866,38.464933,,,,,SIMP01,33,,,,,FALSE,4130,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622150.6557,4258330.838,10N
7932416330,TRUE,8/23/18 2:00,-121.599333,38.46535,,,,,SIMP01,28,,,,,FALSE,4130,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622196.4541,4258377.819,10N
7932416303,TRUE,8/23/18 3:02,-121.601383,38.463283,,,,,SIMP01,22,,,,,FALSE,4090,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622021.0841,4258145.729,10N
7932416304,TRUE,8/23/18 4:00,-121.601466,38.46325,,,,,SIMP01,29,,,,,FALSE,4090,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622013.8981,4258141.957,10N
7932416305,TRUE,8/23/18 12:00,-121.602,38.46305,,,,,SIMP01,26,,,,,FALSE,4090,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621967.6445,4258119.056,10N
7932416306,TRUE,8/23/18 13:00,-121.601616,38.4633,,,,,SIMP01,24,,,,,FALSE,4090,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622000.7267,4258147.307,10N
7932416307,TRUE,8/23/18 14:02,-121.601116,38.463033,,,,,SIMP01,22,,,,,FALSE,4110,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622044.8007,4258118.341,10N
7932416308,TRUE,8/23/18 15:00,-121.601683,38.462166,,,,,SIMP01,25,,,,,FALSE,4110,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621996.7917,4258021.38,10N
7932416309,TRUE,8/23/18 16:00,-121.601666,38.464116,,,,,SIMP01,32,,,,,FALSE,4110,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621994.9894,4258237.791,10N
7932416310,TRUE,8/23/18 17:00,-121.601533,38.460983,,,,,SIMP01,30,,,,,FALSE,4110,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622011.8724,4257890.303,10N
7932416287,TRUE,8/23/18 18:02,-121.60195,38.4609,,,,,SIMP01,28,,,,,FALSE,4140,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621975.6287,4257880.54,10N
7932416288,TRUE,8/23/18 19:00,-121.601883,38.460866,,,,,SIMP01,49,,,,,FALSE,4140,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621981.5317,4257876.856,10N
7932416289,TRUE,8/23/18 20:00,-121.602033,38.461216,,,,,SIMP01,48,,,,,FALSE,4140,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621967.8546,4257915.496,10N
7932416290,TRUE,8/23/18 21:00,-121.60215,38.4633,,,,,SIMP01,35,,,,,FALSE,4140,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621954.1362,4258146.599,10N
7932416283,TRUE,8/23/18 22:02,-121.599483,38.462816,,,,,SIMP01,41,,,,,FALSE,4160,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622187.6435,4258096.426,10N
7932416284,TRUE,8/23/18 23:00,-121.60195,38.461133,,,,,SIMP01,40,,,,,FALSE,4160,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621975.2362,4257906.396,10N
7932416285,TRUE,8/24/18 0:00,-121.602033,38.46535,,,,,SIMP01,32,,,,,FALSE,4160,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621960.891,4258374.24,10N
7932416286,TRUE,8/24/18 1:00,-121.603416,38.4645,,,,,SIMP01,34,,,,,FALSE,4160,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621841.6608,4258278.086,10N
7932416275,TRUE,8/24/18 2:02,-121.601966,38.463983,,,,,SIMP01,26,,,,,FALSE,4120,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621969.0393,4258222.635,10N
7932416276,TRUE,8/24/18 3:00,-121.599849,38.463416,,,,,SIMP01,23,,,,,FALSE,4120,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622154.6983,4258162.521,10N
7932416277,TRUE,8/24/18 4:00,-121.601816,38.4633,,,,,SIMP01,28,,,,,FALSE,4120,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621983.2771,4258147.042,10N
7932416278,TRUE,8/24/18 12:00,-121.601416,38.4639,,,,,SIMP01,29,,,,,FALSE,4120,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622017.1652,4258214.153,10N
7932416319,TRUE,8/24/18 13:02,-121.601666,38.463166,,,,,SIMP01,29,,,,,FALSE,4130,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",621996.59,4258132.371,10N
7932416320,TRUE,8/24/18 14:00,-121.598666,38.462016,,,,,SIMP01,19,,,,,FALSE,4130,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",622260.2765,4258008.736,10N
