x,y
737843.5827,4063821.73
737686.045,4063913.633
737735.1355,4063807.613
737612.3474,4063830.078
737599.8144,4063798.304
737503.8155,4063764.214
737601.3982,4063792.796
737602.8651,4063794.724
737605.6601,4063800.354
737660.1321,4063825.852
737601.2443,4063798.344
737599.7621,4063800.191
737601.2443,4063798.344
737669.2507,4063874.3
737599.7128,4063801.966
737604.5382,4063789.218
737598.2953,4063798.262
737610.1806,4063798.592
737604.5382,4063789.218
737601.7062,4063781.7
737604.5906,4063787.332
737607.3332,4063794.848
737602.7634,4063798.386
737602.8158,4063796.5
737601.4999,4063789.134
737601.3459,4063794.682
737599.7621,4063800.191
737599.7128,4063801.966
737602.6095,4063803.934
737599.6605,4063803.852
737599.5065,4063809.4
737601.1426,4063802.006
737601.0903,4063803.892
737602.8651,4063794.724
737596.8284,4063796.334
737596.8284,4063796.334
737599.9161,4063794.642
737602.6618,4063802.048
737594.0334,4063790.704
737602.7111,4063800.272
737594.0334,4063790.704
737592.4619,4063792.548
737877.9106,4063819.019
737604.2303,4063800.315
737632.2659,4063808.422
737744.1303,4063754.227
737601.2443,4063798.344
737625.1774,4063741.597
737625.0234,4063747.145
737550.7612,4063845.027
737601.2443,4063798.344
737623.6375,4063797.078
737604.335,4063796.542
737674.5396,4063683.779
737731.4162,4063835.272
737821.1401,4063824.771
737612.522,4063769.007
737708.0988,4063869.826
