Year,Bird ID,hr.95,hr.50
2018,SIMP 02,3736,174
2018,SIMP 01,6325,110
2018,SIMP 07,6829,102
2018,SIMP 10,858,67
2019,NOHA 626,2427,154
2019,NOHA 627,14079,811
2019,NOHA 628,14052,497
2019,NOHA 629,1426,177
2019,NOHA 630,12010,404
2019,NOHA 30.1,3848,118
