x,y,time
595275.5157,4221197.654,0
595276.8331,4221199.363,1
679624.5893,5144510.554,2
676932.2275,5134104.959,3
676949.0121,5134093.569,4
675810.8563,5135230.566,5
676070.0774,5135835.759,6
676941.2931,5134096.314,7
676940.0572,5134098.399,8
675759.9688,5135161.649,9
676946.4788,5134099.859,10
676950.5519,5134101.25,11
675791.9732,5135253.777,12
675748.8022,5135283.922,13
676933.8203,5134090.583,14
676935.5201,5134092.753,15
676953.5368,5134099.639,16
676948.1787,5134102.029,17
675777.2864,5135151.968,18
675795.6302,5135228.854,19
678973.7253,5137322.028,20
678973.7253,5137322.028,21
678975.0236,5137317.824,22
676309.4721,5135521.139,23
676540.7736,5133702.486,24
676439.19,5133719.905,25
676439.19,5133719.905,26
676361.5879,5135567.614,27
678897.9012,5135524.943,28
680252.444,5134541.671,29
676312.7486,5135529.718,30
677619.128,5136443.254,31
677619.128,5136443.254,32
680047.1652,5134289.977,33
680047.6897,5134292.114,34
680044.7917,5134290.755,35
680046.503,5134292.503,36
678591.8573,5134000.246,37
678591.8573,5134000.246,38
676950.478,5134103.793,39
676950.5765,5134100.402,40
676951.9231,5134094.502,41
676947.0537,5134100.299,42
676950.6011,5134099.554,43
676950.6011,5134099.554,44
676949.4638,5134098.248,45
676952.8758,5134102.165,46
676942.8083,5134104.842,47
676946.4911,5134099.435,48
676943.5062,5134101.045,49
676943.5062,5134101.045,50
676944.1918,5134097.671,51
676948.2649,5134099.062,52
676948.7289,5134103.318,53
676947.1029,5134098.604,54
676951.7138,5134101.707,55
676951.7138,5134101.707,56
676947.7147,5134097.773,57
676950.0017,5134099.961,58
676950.1371,5134095.299,59
676952.4364,5134097.062,60
676956.0824,5134092.926,61
676956.0824,5134092.926,62
675814.3288,5135273.087,63
679572.7303,5135134.164,64
680394.3507,5134789.798,65
675773.9955,5135265.984,66
676320.3674,5135530.363,67
676320.3674,5135530.363,68
676946.4296,5134101.554,69
676951.7877,5134099.164,70
675785.0875,5135288.787,71
675763.3063,5135310.641,72
676947.1029,5134098.604,73
676947.1029,5134098.604,74
676947.0537,5134100.299,75
675675.7669,5135290.298,76
675791.5208,5135249.097,77
675812.8862,5135241.654,78
675790.738,5135255.862,79
676948.8151,5134100.351,80
676949.4392,5134099.096,81
675790.5542,5135282.582,82
675766.4991,5135220.378,83
676944.9968,5134110.421,84
676944.7136,5134120.169,85
675779.3521,5135263.593,86
675815.1113,5135286.684,87
676948.852,5134099.079,88
676947.0783,5134099.452,89
675708.9336,5135321.798,90
675708.9336,5135321.798,91
676939.5193,5134096.687,92
676939.5193,5134096.687,93
676942.5166,5134094.653,94
676942.5166,5134094.653,95
675852.0846,5135145.644,96
675852.0846,5135145.644,97
675796.7059,5135273.002,98
675796.7059,5135273.002,99
676945.8917,5134099.842,100
676945.8917,5134099.842,101
676944.0318,5134103.181,102
676944.0318,5134103.181,103
675804.2176,5135073.844,104
675804.2176,5135073.844,105
675261.2332,5134669.202,106
678942.7674,5134057.631,107
679015.7109,5134055.107,108
675807.1653,5135053.143,109
675581.0915,5135619.294,110
678979.0548,5134022.639,111
678991.0737,5134033.597,112
678980.0299,5134029.455,113
678978.2809,5134028.979,114
678976.5941,5134026.384,115
678977.6563,5134030.233,116
678978.2061,5134031.522,117
678981.8162,5134028.659,118
678978.7435,5134033.235,119
678979.8804,5134034.541,120
678980.5298,5134032.439,121
678978.2435,5134030.251,122
678977.1813,5134026.401,123
678978.231,5134030.674,124
678978.3058,5134028.131,125
678981.2166,5134029.065,126
678981.754,5134030.778,127
678989.0488,5134022.508,128
675810.5136,5135242.434,129
675778.9377,5135115.11,130
675804.0833,5135058.145,131
675777.0543,5135119.298,132
678971.9533,5133964.313,133
678983.1007,5134004.94,134
675790.5812,5135057.755,135
675807.6662,5135096.851,136
675806.5655,5135094.274,137
675808.2043,5135098.563,138
675749.3165,5135164.311,139
675794.8105,5135257.252,140
679207.7835,5134058.209,141
679216.729,5134073.744,142
675790.1263,5135277.055,143
675784.8061,5135298.535,144
679005.9374,5134007.732,145
679008.3608,5134005.258,146
679006.6118,5134004.783,147
679007.1242,5134007.343,148
679007.7113,5134007.36,149
679009.3856,5134010.379,150
679006.537,5134007.326,151
679007.0121,5134011.158,152
679006.5868,5134005.63,153
679005.9623,5134006.885,154
679004.7258,5134008.969,155
679007.9231,5134000.155,156
678991.408,5134002.215,157
679006.4748,5134009.445,158
679010.2504,5134040.948,159
679010.2717,5134000.224,160
679005.9125,5134008.58,161
679004.1261,5134009.376,162
679012.9708,5134008.363,163
679008.2736,5134008.225,164
679007.1615,5134006.072,165
679010.5973,5134009.142,166
675776.2704,5135248.233,167
679077.0467,5134347.497,168
679075.2355,5134349.141,169
679077.6338,5134347.514,170
679082.5675,5134339.599,171
679072.2625,5134350.326,172
679069.2397,5134353.206,173
679075.8351,5134348.734,174
679077.4967,5134352.177,175
