event-id,visible,timestamp,location-long,location-lat,acceleration-raw-x,acceleration-raw-y,acceleration-raw-z,bar:barometric-height,battery-charge-percent,battery-charging-current,external-temperature,gps:hdop,gps:satellite-count,gps-time-to-fix,ground-speed,heading,height-above-msl,import-marked-outlier,gls:light-level,mag:magnetic-field-raw-x,mag:magnetic-field-raw-y,mag:magnetic-field-raw-z,orn:transmission-protocol,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
10457625668,true,2019-05-30 00:09:01.000,-121.96153259277344,38.13956069946289,26.0,-663.0,716.0,0.0,100,5.0,36.0,1.1,8,6.81,0.0,0.0,-6.0,false,2047.0,1.028,-0.117,-0.428,"GPRS",4179.0,"gps","Circus cyaneus","191626","NOHA 626","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10457625669,true,2019-05-30 00:24:01.000,-121.96248626708984,38.139312744140625,-125.0,590.0,830.0,0.0,100,7.0,29.0,1.1,8,7.1,0.0,0.0,-6.0,false,2047.0,0.114,-0.284,-0.203,"GPRS",4185.0,"gps","Circus cyaneus","191626","NOHA 626","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10457625670,true,2019-05-30 00:39:11.000,-121.96156311035156,38.13951873779297,117.0,-629.0,779.0,0.0,100,0.0,30.0,1.7,6,17.11,0.0,0.0,-1.0,false,1872.0,0.957,-0.332,-0.378,"GPRS",4182.0,"gps","Circus cyaneus","191626","NOHA 626","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10457625671,true,2019-05-30 00:58:20.000,-121.96163177490234,38.1395378112793,-286.0,183.0,906.0,0.0,100,0.0,36.0,2.7,5,90.0,0.0,0.0,-7.0,false,2047.0,0.17,0.081,-0.203,"GPRS",4177.0,"gps","Circus cyaneus","191626","NOHA 626","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10457625672,true,2019-05-30 01:12:33.000,-121.96150970458984,38.139495849609375,119.0,-573.0,823.0,0.0,98,0.0,28.0,1.3,9,42.15,0.0,110.0,2.0,false,640.0,0.77,-0.433,-0.243,"GPRS",4135.0,"gps","Circus cyaneus","191626","NOHA 626","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10457625673,true,2019-05-30 01:26:57.000,-121.96156311035156,38.13957214355469,-127.0,8.0,1446.0,0.0,98,0.0,25.0,1.4,7,6.19,3.333333333333333,277.0,-3.0,false,2047.0,0.654,0.08,-0.14,"GPRS",4138.0,"gps","Circus cyaneus","191626","NOHA 626","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10457625674,true,2019-05-30 01:41:58.000,-121.95813751220703,38.13845443725586,64.0,133.0,960.0,0.0,99,1.0,24.0,1.4,7,7.16,7.5,323.0,0.0,false,2047.0,0.386,-0.352,-0.098,"GPRS",4146.0,"gps","Circus cyaneus","191626","NOHA 626","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10457625675,true,2019-05-30 01:56:59.000,-121.9611587524414,38.139427185058594,148.0,-203.0,992.0,0.0,99,0.0,25.0,1.7,5,8.06,0.0,0.0,-6.0,false,848.0,0.768,-0.128,-0.158,"GPRS",4146.0,"gps","Circus cyaneus","191626","NOHA 626","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10457625676,true,2019-05-30 02:11:58.000,-121.96114349365234,38.13941955566406,168.0,-58.0,1014.0,0.0,99,0.0,26.0,1.5,6,7.16,0.0,170.0,-10.0,false,96.0,0.398,-0.407,-0.133,"GPRS",4143.0,"gps","Circus cyaneus","191626","NOHA 626","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10457625677,true,2019-05-30 02:26:57.000,-121.96112823486328,38.13947677612305,123.0,-111.0,1020.0,0.0,99,0.0,26.0,1.4,6,6.16,0.0,174.0,-2.0,false,0.0,0.416,-0.384,-0.122,"GPRS",4143.0,"gps","Circus cyaneus","191626","NOHA 626","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
