ID,x,y
SIMP02,593832.313,4218139.105
SIMP02,593475.6145,4218146.098
SIMP02,593066.3617,4218531.59
SIMP02,593067.8724,4218529.831
SIMP02,593070.7655,4218529.865
SIMP02,593064.9132,4218527.911
SIMP02,593064.8498,4218533.459
SIMP02,593069.2967,4218527.961
SIMP02,593017.4978,4218717.91
SIMP02,593128.4493,4218469.489
SIMP02,593064.6594,4218550.103
SIMP02,593070.999,4218509.448
SIMP02,593071.1043,4218500.239
SIMP02,593082.5525,4218518.902
SIMP02,593071.0828,4218502.125
SIMP02,593063.447,4218533.443
SIMP02,593066.382,4218529.814
SIMP02,593067.8724,4218529.831
SIMP02,593072.2559,4218529.882
SIMP02,593057.4247,4218546.358
SIMP02,593066.3186,4218535.362
SIMP02,593069.2967,4218527.961
SIMP02,593101.3027,4218543.087
SIMP02,593065.6746,4218461.336
SIMP02,593063.4686,4218531.557
SIMP02,593067.8305,4218533.493
SIMP02,593066.4036,4218527.928
SIMP02,593075.149,4218529.915
SIMP02,593064.7229,4218544.555
SIMP02,593061.8513,4218542.636
SIMP02,593060.4878,4218531.523
SIMP02,593002.9521,4218579.027
SIMP02,593063.3417,4218542.653
SIMP02,593057.5097,4218538.924
SIMP02,593085.5968,4218513.388
SIMP02,593065.1886,4218503.833
SIMP02,593080.1252,4218478.147
SIMP02,593072.3625,4218520.561
SIMP02,593082.5525,4218518.902
SIMP02,593071.1678,4218494.691
SIMP02,593069.6774,4218494.674
SIMP02,593083.8957,4218531.79
SIMP02,593063.447,4218533.443
SIMP02,593064.8916,4218529.797
SIMP02,593064.8916,4218529.797
SIMP02,593066.3617,4218531.59
SIMP02,593066.3617,4218531.59
SIMP02,593067.8305,4218533.493
SIMP02,593067.809,4218535.379
SIMP02,593064.8079,4218537.121
SIMP02,593128.8185,4218567.483
SIMP02,593163.5811,4218464.343
SIMP02,593051.7412,4218529.647
SIMP02,592963.9361,4218417.67
SIMP02,593093.7291,4218568.968
SIMP02,593089.8965,4218520.762
SIMP02,593077.0417,4218494.758
SIMP02,593078.3391,4218503.983
SIMP02,593119.1238,4218387.928
SIMP02,593075.1287,4218531.69
SIMP02,593066.382,4218529.814
SIMP02,593073.6383,4218531.673
SIMP02,593072.214,4218533.543
SIMP02,593072.1722,4218537.205
SIMP02,593069.2548,4218531.623
SIMP02,593059.042,4218535.279
SIMP02,592979.0197,4218632.354
SIMP02,593067.7036,4218544.589
SIMP02,593070.8721,4218520.544
SIMP02,593075.4244,4218505.837
SIMP02,593094.4069,4218509.716
SIMP02,593085.4064,4218530.032
SIMP02,593064.8713,4218531.573
SIMP02,593066.3617,4218531.59
SIMP02,593069.2751,4218529.848
SIMP02,593321.7611,4218181.287
SIMP02,593060.6877,4218644.385
