event-id,visible,timestamp,location-long,location-lat,acceleration-raw-x,acceleration-raw-y,acceleration-raw-z,bar:barometric-height,battery-charge-percent,battery-charging-current,external-temperature,gps:hdop,gps:satellite-count,gps-time-to-fix,ground-speed,heading,height-above-msl,import-marked-outlier,gls:light-level,mag:magnetic-field-raw-x,mag:magnetic-field-raw-y,mag:magnetic-field-raw-z,orn:transmission-protocol,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
10675873943,true,2019-06-15 05:32:11.000,-122.00325775146484,38.192169189453125,-50.0,-396.0,953.0,0.0,100,0.0,29.0,1.1,6,43.83,0.0,0.0,11.0,false,0.0,-0.042,0.308,0.517,"GPRS",4177.0,"gps","Circus cyaneus","191630","NOHA 630","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10675873944,true,2019-06-15 06:02:03.000,-122.00328063964844,38.19219207763672,-72.0,-376.0,960.0,0.0,100,0.0,30.0,0.9,8,35.86,0.0,0.0,-16.0,false,0.0,-0.039,0.311,0.527,"GPRS",4169.0,"gps","Circus cyaneus","191630","NOHA 630","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10675873945,true,2019-06-15 12:11:51.000,-122.00328826904297,38.19212341308594,203.0,-222.0,991.0,0.0,100,0.0,30.0,1.0,9,81.6,0.0,0.0,9.0,false,0.0,-0.265,0.558,0.58,"GPRS",4155.0,"gps","Circus cyaneus","191630","NOHA 630","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10675873946,true,2019-06-15 12:40:44.000,-122.00328063964844,38.19219970703125,-23.0,414.0,964.0,0.0,97,0.0,23.0,1.5,7,14.92,0.0,0.0,-11.0,false,272.0,-0.141,0.65,0.527,"GPRS",4130.0,"gps","Circus cyaneus","191630","NOHA 630","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10675873947,true,2019-06-15 13:10:42.000,-122.00330352783203,38.19219970703125,150.0,-45.0,1021.0,0.0,97,0.0,22.0,1.5,8,12.95,0.0,0.0,9.0,false,608.0,-0.045,0.683,0.492,"GPRS",4133.0,"gps","Circus cyaneus","191630","NOHA 630","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10675873948,true,2019-06-15 13:41:03.000,-122.00426483154297,38.19218063354492,30.0,-764.0,672.0,0.0,97,0.0,22.0,1.2,7,33.82,0.0,266.0,-2.0,false,2047.0,0.264,0.295,0.204,"GPRS",4133.0,"gps","Circus cyaneus","191630","NOHA 630","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10675873949,true,2019-06-15 14:10:39.000,-122.0031967163086,38.19199752807617,18.0,-271.0,1557.0,0.0,97,0.0,21.0,1.4,7,9.97,8.055555555555555,118.0,9.0,false,2047.0,-0.083,0.753,0.491,"GPRS",4130.0,"gps","Circus cyaneus","191630","NOHA 630","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10675873950,true,2019-06-15 14:41:03.000,-122.00321960449219,38.19224166870117,47.0,-460.0,914.0,0.0,97,0.0,26.0,1.1,6,33.88,0.0,0.0,-1.0,false,2047.0,-0.085,0.705,0.522,"GPRS",4133.0,"gps","Circus cyaneus","191630","NOHA 630","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10675873951,true,2019-06-15 15:10:41.000,-122.00326538085938,38.19137954711914,10.0,-14.0,796.0,0.0,97,0.0,27.0,1.0,7,12.01,4.166666666666667,298.0,0.0,false,2047.0,-0.168,0.078,0.331,"GPRS",4133.0,"gps","Circus cyaneus","191630","NOHA 630","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10675873952,true,2019-06-15 15:40:45.000,-122.00321960449219,38.19227600097656,-38.0,-98.0,1039.0,0.0,98,0.0,23.0,1.8,5,15.98,0.2777777777777778,0.0,-8.0,false,2047.0,0.044,0.398,0.483,"GPRS",4138.0,"gps","Circus cyaneus","191630","NOHA 630","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
