dt,lon,lat,id
6/25/18 7:06 PM,-121.891599,38.118449,128
6/25/18 8:00 PM,-121.888049,38.119199,129
6/25/18 9:00 PM,-121.893833,38.121916,130
6/25/18 10:00 PM,-121.892683,38.122066,131
6/25/18 11:00 PM,-121.893866,38.121982,132
6/26/18 12:00 AM,-121.887966,38.119732,133
6/26/18 1:00 AM,-121.892366,38.122232,134
6/26/18 2:00 AM,-121.889249,38.120832,135
6/26/18 3:00 AM,-121.889583,38.119066,136
6/26/18 4:00 AM,-121.884116,38.118566,137
6/26/18 12:00 PM,-121.883349,38.118132,138
6/26/18 1:00 PM,-121.893866,38.121899,139
6/26/18 2:00 PM,-121.892116,38.121199,140
6/26/18 3:00 PM,-121.894083,38.122516,141
6/26/18 4:00 PM,-121.893383,38.122332,142
6/26/18 5:00 PM,-121.891366,38.120566,143
6/26/18 6:00 PM,-121.894149,38.122399,144
6/26/18 7:00 PM,-121.891633,38.120766,145
6/26/18 8:00 PM,-121.894366,38.122199,146
6/26/18 9:00 PM,-121.892566,38.123232,147
6/26/18 10:00 PM,-121.893833,38.121916,148
6/26/18 11:00 PM,-121.890999,38.118316,149
6/27/18 12:00 AM,-121.891983,38.120399,150
6/27/18 1:00 AM,-121.893833,38.121949,151
6/27/18 2:00 AM,-121.889966,38.119366,152
6/27/18 3:00 AM,-121.893833,38.121916,153
6/27/18 4:00 AM,-121.881016,38.112833,154
6/27/18 12:00 PM,-121.880949,38.112983,155
6/27/18 1:07 PM,-121.893783,38.121966,156
6/27/18 2:00 PM,-121.892849,38.121582,157
6/27/18 3:00 PM,-121.893649,38.121966,158
6/27/18 4:00 PM,-121.892366,38.121132,159
6/27/18 5:04 PM,-121.892583,38.121832,160
6/27/18 5:58 PM,-121.888966,38.11585,161
6/27/18 6:00 PM,-121.888249,38.116066,162
6/27/18 7:00 PM,-121.888199,38.117966,163
6/27/18 8:00 PM,-121.892883,38.122132,164
6/27/18 9:00 PM,-121.893316,38.122116,165
6/27/18 10:00 PM,-121.891099,38.115966,166
6/27/18 11:00 PM,-121.889316,38.115466,167
6/28/18 12:00 AM,-121.893866,38.121949,168
6/28/18 1:00 AM,-121.893849,38.121949,169
6/28/18 2:00 AM,-121.889249,38.120382,170
6/28/18 3:00 AM,-121.887899,38.119966,171
6/28/18 4:00 AM,-121.894216,38.119382,172
6/28/18 12:00 PM,-121.894016,38.119482,173
6/28/18 1:00 PM,-121.893716,38.122066,174
6/28/18 2:00 PM,-121.888916,38.117116,175
6/28/18 3:00 PM,-121.884549,38.119032,176
6/28/18 4:00 PM,-121.884449,38.119666,177
6/28/18 5:00 PM,-121.886133,38.116533,178
6/28/18 6:00 PM,-121.884683,38.119349,179
6/28/18 7:00 PM,-121.887299,38.119482,180
6/28/18 8:00 PM,-121.888016,38.118866,181
6/28/18 9:00 PM,-121.893833,38.121932,182
6/28/18 10:00 PM,-121.888866,38.117366,183
6/28/18 11:00 PM,-121.887999,38.119349,184
6/29/18 12:00 AM,-121.893833,38.121899,185
6/29/18 1:00 AM,-121.893183,38.122082,186
6/29/18 2:00 AM,-121.888016,38.118049,187
6/29/18 3:00 AM,-121.890833,38.118016,188
6/29/18 4:00 AM,-121.883899,38.118516,189
6/29/18 12:00 PM,-121.883999,38.118532,190
6/29/18 1:00 PM,-121.893999,38.121866,191
6/29/18 2:00 PM,-121.893333,38.121966,192
6/29/18 3:00 PM,-121.886583,38.120232,193
6/29/18 4:00 PM,-121.893833,38.122899,194
6/29/18 5:00 PM,-121.884683,38.119882,195
6/29/18 6:06 PM,-121.893866,38.121932,196
6/29/18 7:00 PM,-121.884483,38.118749,197
6/29/18 8:00 PM,-121.890016,38.117682,198
6/29/18 9:00 PM,-121.893833,38.121916,199
6/29/18 10:00 PM,-121.893883,38.121082,200
6/29/18 11:00 PM,-121.893833,38.121932,201
6/30/18 12:00 AM,-121.888916,38.116166,202
6/30/18 1:00 AM,-121.893016,38.121816,203
6/30/18 2:00 AM,-121.887383,38.119999,204
6/30/18 3:00 AM,-121.894049,38.122332,205
6/30/18 4:00 AM,-121.883799,38.118716,206
6/30/18 12:00 PM,-121.883349,38.118499,207
6/30/18 1:07 PM,-121.893849,38.121932,208
6/30/18 2:00 PM,-121.893883,38.121782,209
6/30/18 3:00 PM,-121.893833,38.121482,210
6/30/18 4:00 PM,-121.893899,38.121799,211
6/30/18 5:00 PM,-121.893883,38.122449,212
6/30/18 6:00 PM,-121.894083,38.122349,213
6/30/18 7:00 PM,-121.891233,38.121616,214
6/30/18 8:00 PM,-121.893249,38.122099,215
6/30/18 11:02 PM,-121.887833,38.120049,216
7/1/18 12:00 AM,-121.891033,38.120199,217
7/1/18 1:00 AM,-121.893816,38.121932,218
7/1/18 2:00 AM,-121.893816,38.121916,219
7/1/18 3:00 AM,-121.891049,38.120249,220
7/1/18 4:02 AM,-121.884266,38.118649,221
7/1/18 12:00 PM,-121.884083,38.118682,222
7/1/18 1:00 PM,-121.892883,38.121549,223
7/1/18 2:00 PM,-121.883816,38.118999,224
7/1/18 3:00 PM,-121.893666,38.121449,225
7/1/18 4:00 PM,-121.883733,38.117682,226
7/1/18 5:00 PM,-121.885116,38.118099,227
7/1/18 5:59 PM,-121.890749,38.118982,228
7/1/18 7:02 PM,-121.894333,38.121482,229
7/1/18 8:00 PM,-121.883366,38.117949,230
7/1/18 9:00 PM,-121.892283,38.121182,231
7/1/18 10:00 PM,-121.883833,38.118866,232
7/1/18 11:00 PM,-121.885483,38.119632,233
7/2/18 12:00 AM,-121.883899,38.119549,234
7/2/18 1:00 AM,-121.892283,38.121166,235
7/2/18 2:00 AM,-121.883849,38.123616,236
7/2/18 3:02 AM,-121.884016,38.119032,237
7/2/18 4:00 AM,-121.884699,38.122632,238
7/2/18 12:00 PM,-121.884566,38.122649,239
7/2/18 1:00 PM,-121.893933,38.121916,240
7/2/18 2:00 PM,-121.884849,38.119582,241
7/2/18 3:00 PM,-121.885383,38.119949,242
7/2/18 4:00 PM,-121.891783,38.121116,243
7/2/18 5:00 PM,-121.892816,38.121832,244
7/2/18 6:00 PM,-121.890033,38.117499,245
7/2/18 7:00 PM,-121.893833,38.121949,246
7/2/18 8:00 PM,-121.892066,38.120449,247
7/2/18 9:00 PM,-121.891766,38.120949,248
7/2/18 10:00 PM,-121.892899,38.119816,249
7/2/18 11:00 PM,-121.893816,38.121932,250
7/3/18 12:00 AM,-121.893849,38.121949,251
7/3/18 1:00 AM,-121.893333,38.122199,252
7/3/18 2:00 AM,-121.882682,38.118766,253
7/3/18 3:00 AM,-121.881916,38.119282,254
7/3/18 4:00 AM,-121.884266,38.118732,255
7/3/18 12:00 PM,-121.883933,38.118949,256
7/3/18 1:07 PM,-121.894016,38.121966,257
7/3/18 2:00 PM,-121.894166,38.121299,258
7/3/18 3:00 PM,-121.882716,38.117316,259
7/3/18 4:00 PM,-121.894299,38.121416,260
7/3/18 5:07 PM,-121.884649,38.118499,261
