"","x","y","nlcd_extract_41"
"189",273426.2261,4695248.796,95
"190",273426.2873,4695250.683,95
"191",273420.9106,4695252.636,95
"192",273419.331,4695247.129,95
"193",273433.9813,4695233.759,95
"194",273423.4478,4695246.996,95
"195",273420.9106,4695252.636,95
"196",273421.9294,4695243.376,95
"197",273521.154,4695253.169,95
"198",273423.6277,4695252.548,95
"199",273422.1705,4695250.817,95
"200",273423.8688,4695259.988,95
"201",273438.6953,4695252.06,95
"202",273395.3713,4695227.562,52
"203",273408.92,4695264.141,95
"204",273401.3453,4695244.043,52
"205",273429.3242,4695257.922,95
"206",273412.4395,4695245.574,95
"207",273419.5109,4695252.682,95
"208",273422.1093,4695248.929,95
"209",273401.4856,4695205.131,95
"210",273399.6069,4695231.093,52
"211",273415.3941,4695252.815,95
"212",273417.712,4695197.157,95
"213",273427.7446,4695252.415,95
"214",273459.381,4695168.016,95
"215",273419.2735,4695245.352,95
"216",273389.6748,4695222.189,95
"217",273428.7269,4695239.488,95
"218",273424.6101,4695239.621,95
"219",273460.9997,4695217.988,95
"220",273513.1002,4695258.988,95
"221",273416.6751,4695249.105,95
"222",273423.7501,4695256.324,95
"223",273422.0481,4695247.041,95
"224",273422.228,4695252.593,95
"225",273433.2611,4695252.236,95
"226",273542.958,4695246.904,95
"227",273416.6751,4695249.105,95
"228",273419.4534,4695250.905,95
"229",273419.4534,4695250.905,95
"230",273422.1093,4695248.929,95
"231",273419.5721,4695254.569,95
"232",273422.0481,4695247.041,95
"233",273422.0481,4695247.041,95
"234",273425.2073,4695258.055,95
"235",273422.1093,4695248.929,95
"236",273410.0791,4695215.969,95
"237",273468.0746,4695225.207,95
"238",273418.1112,4695252.727,95
"239",273415.0955,4695243.598,95
"240",273421.0905,4695258.189,95
"241",273419.4534,4695250.905,95
"242",273420.8531,4695250.859,95
"243",273438.3355,4695240.955,95
"244",273418.1724,4695254.615,95
"245",273417.9313,4695247.174,95
"246",273422.4691,4695260.034,95
"247",273422.228,4695252.593,95
"248",273425.8663,4695237.691,95
"249",273424.6101,4695239.621,95
"250",273422.1705,4695250.817,95
"251",273438.6377,4695250.283,95
"252",273421.2704,4695263.741,95
"253",273422.2892,4695254.481,95
"254",273423.509,4695248.884,95
"255",273425.9851,4695241.355,95
"256",273422.1093,4695248.929,95
"257",273416.9161,4695256.545,95
"258",273511.603,4695253.478,95
"259",273412.3567,4695286.263,95
"260",273427.025,4695230.205,95
"261",273422.0481,4695247.041,95
"262",273422.0481,4695247.041,95
"263",273423.6277,4695252.548,95
"264",273424.9699,4695250.726,95
"265",273427.5071,4695245.086,95
"266",273427.2049,4695235.758,95
"267",273423.2104,4695239.667,95
"268",273419.4534,4695250.905,95
"269",273424.8476,4695246.95,95
"270",273422.2892,4695254.481,95
"271",273423.6889,4695254.436,95
"272",273423.2104,4695239.667,95
"273",273426.1074,4695245.131,95
"274",273410.4173,4695269.651,95
"275",273418.6726,4695226.807,95
"276",273424.9699,4695250.726,95
"277",273430.5228,4695254.215,95
"278",273423.3903,4695245.219,95
"279",273423.509,4695248.884,95
"280",273424.7288,4695243.286,95
"281",273422.228,4695252.593,95
"282",273516.9149,4695249.526,95
"283",273469.5355,4695227.049,95
"284",273426.0462,4695243.243,95
"285",273420.8531,4695250.859,95
"286",273416.7938,4695252.77,95
"287",273457.0024,4695181.1,95
"288",273418.3523,4695260.167,95
"289",273415.4553,4695254.703,95
"290",273424.6101,4695239.621,95
"291",273419.3922,4695249.017,95
"292",273418.1112,4695252.727,95
"293",273429.9832,4695237.557,95
"294",273407.5203,4695264.186,95
"295",273425.0275,4695252.503,95
"296",273419.3922,4695249.017,95
"297",273419.331,4695247.129,95
"298",273422.1705,4695250.817,95
"299",273468.996,4695210.392,95
"300",273468.2127,4695145.497,95
"301",273407.7002,4695269.739,95
"302",273425.4454,4695224.698,95
"303",273430.3648,4695206.085,95
"304",273411.299,4695210.372,95
"305",273515.0581,4695232.912,95
"306",273616.3231,4695135.143,95
"307",273460.0208,4695231.026,95
"308",273461.0801,4695136.502,95
"309",273413.2353,4695186.186,95
"310",273550.2725,4695302.25,95
"311",273427.3666,4695283.998,95
"312",273441.0774,4695239.088,95
"313",273404.8612,4695225.365,52
"314",273423.3291,4695243.331,95
"315",273425.9851,4695241.355,95
"316",273423.4478,4695246.996,95
"317",273450.3263,4695229.45,95
"318",273429.6846,4695228.34,95
"319",273386.5188,4695251.972,52
"320",273390.0747,4695107.343,52
"321",273389.4949,4695216.636,95
"322",273430.6634,4695215.302,95
"323",273479.7669,4695204.485,95
"324",273342.6334,4695253.394,52
"325",273407.4627,4695262.41,95
"326",273420.612,4695243.419,95
"327",273173.2885,4695455.202,52
"328",273415.8943,4695225.008,95
"329",273424.549,4695237.733,95
"330",273477.5255,4695178.545,95
"331",273423.6277,4695252.548,95
"332",273422.0481,4695247.041,95
"333",273359.1007,4695252.86,52
"334",273424.9699,4695250.726,95
"335",273452.8272,4695220.143,95
"336",273458.5208,4695184.719,95
"337",273424.9087,4695248.838,95
"338",273424.79,4695245.174,95
"339",273415.8943,4695225.008,95
"340",273999.9315,4695400.646,52
"341",273467.5766,4695082.599,95
"342",273401.5073,4695162.554,52
"343",273474.7899,4695221.321,95
"344",273436.2804,4695261.476,95
"345",273420.5696,4695158.157,95
