"","x","y","nlcd_extract_23"
"1",598377.6117,4648820.045,95
"2",598748.7553,4648632.449,95
"3",598741.7794,4648634.046,95
"4",598744.9749,4648631.549,95
"5",598486.59,4649029.56,81
"6",598487.1985,4649031.263,81
"7",598749.2316,4648552.813,95
"8",598750.4603,4648555.372,95
"9",598754.8963,4648554.586,95
"10",598756.6627,4648563.931,95
"11",598673.9448,4648602.601,95
"12",598575.8578,4648746.543,95
"13",598754.5556,4648624.481,95
"14",598745.8061,4648571.829,95
"15",598666.675,4648488.967,95
"16",598750.5251,4648550.713,95
"17",598753.8032,4648542.286,95
"18",598044.1461,4648523.971,81
"19",598755.1935,4648624.066,95
"20",598759.3559,4648552.106,95
"21",598758.6472,4648557.604,95
"22",598485.3501,4648845.687,95
"23",598764.1351,4648572.084,95
"24",598751.1218,4648553.263,95
"25",598747.1351,4648567.187,95
"26",598774.0696,4648539.602,95
"27",598751.0923,4648555.38,95
"28",598747.3119,4648554.481,95
"29",598743.4784,4648557.393,95
"30",598781.0976,4648488.864,95
"31",598756.8396,4648551.224,95
"32",598782.3568,4648534.634,95
"33",598763.2189,4648547.077,95
"34",598747.3944,4648548.551,95
"35",598657.4155,4648700.23,95
"36",598751.1395,4648551.992,95
"37",598747.7848,4648565.925,95
"38",598753.0297,4648552.442,95
"39",598749.8931,4648550.704,95
"40",598751.0452,4648558.769,95
"41",598754.9258,4648552.468,95
"42",598753.6381,4648554.145,95
"43",598753.6146,4648555.839,95
"44",598754.2525,4648555.424,95
"45",598751.0923,4648555.38,95
"46",598784.3739,4648662.175,95
"47",598755.4694,4648558.83,95
"48",598750.4839,4648553.677,95
"49",598756.1368,4648556.298,95
"50",599030.0279,4648363.127,95
"51",598712.1302,4648538.74,95
"52",598895.8287,4648693.383,95
"53",598774.0814,4648538.755,95
"54",598752.3977,4648552.433,95
"55",598750.6018,4648545.206,95
"56",598742.9466,4648550.184,95
"57",598795.6797,4648395.021,95
"58",598754.9199,4648552.892,95
"59",598655.016,4648236.32,95
"60",598752.3741,4648554.127,95
"61",598755.5932,4648549.936,95
"62",598754.9435,4648551.198,95
"63",598756.1722,4648553.757,95
"64",598754.3645,4648547.377,95
"65",598760.791,4648539.841,95
"66",598762.2059,4648665.256,95
"67",598751.1336,4648552.416,95
"68",598761.509,4648669.906,95
"69",598754.394,4648545.259,95
"70",598767.4331,4648653.043,95
"71",598755.5991,4648549.512,95
"72",598798.311,4648523.842,95
"73",598784.9292,4648667.69,95
"74",598753.5851,4648557.957,95
"75",598753.0533,4648550.748,95
"76",598753.644,4648553.721,95
"77",598756.816,4648552.918,95
"78",598753.0297,4648552.442,95
"79",598753.6735,4648551.604,95
"80",598753.0002,4648554.56,95
"81",598748.5642,4648555.345,95
"82",598754.3114,4648551.189,95
"83",598754.8256,4648559.669,95
"84",598750.4131,4648558.76,95
"85",598753.5969,4648557.11,95
"86",598751.2102,4648546.909,95
"87",598751.8128,4648549.036,95
"88",598752.4861,4648546.08,95
"89",598758.889,4648540.238,95
"90",598753.6617,4648552.451,95
"91",598754.9435,4648551.198,95
"92",598753.6853,4648550.757,95
"93",598754.8786,4648555.857,95
"94",598754.8727,4648556.28,95
"95",598756.9457,4648543.6,95
"96",598756.2311,4648549.521,95
"97",598751.7833,4648551.154,95
"98",598751.7244,4648555.389,95
"99",598728.5395,4648540.663,95
"100",598756.7511,4648557.577,95
"101",598754.2938,4648552.46,95
"102",598747.1999,4648562.528,95
"103",598766.7185,4648658.964,95
"104",598753.6381,4648554.145,95
"105",598754.2348,4648556.695,95
"106",598749.32,4648546.46,95
"107",598756.2311,4648549.521,95
"108",598751.222,4648546.062,95
"109",598756.9044,4648546.565,95
"110",598780.2484,4648549.856,95
"111",598758.0624,4648554.207,95
"112",598748.5406,4648557.04,95
"113",598748.4758,4648561.699,95
"114",598752.8882,4648562.607,95
"115",598746.6917,4648553.625,95
"116",598740.8029,4648567.946,95
"117",598758.139,4648548.7,95
"118",598771.3078,4648647.166,95
"119",598760.0587,4648547.033,95
"120",598759.0022,4648577.519,95
"121",598778.8674,4648603.638,95
"122",598751.169,4648549.874,95
"123",598757.4303,4648554.198,95
"124",598752.2267,4648564.716,95
"125",598749.1785,4648556.625,95
"126",598752.3387,4648556.669,95
"127",598765.8001,4648543.3,95
"128",598756.8278,4648552.071,95
"129",598751.8128,4648549.036,95
"130",598752.4389,4648549.468,95
"131",598765.2447,4648537.785,95
"132",598657.1051,4648768.007,95
"133",598759.8229,4648563.975,95
"134",598760.7568,4648587.711,95
"135",598752.7125,4648620.642,95
"136",598669.8505,4648578.821,95
"137",598757.9503,4648562.254,95
"138",598758.2392,4648541.5,95
"139",598753.7619,4648545.25,95
"140",598753.1181,4648546.089,95
"141",598751.0923,4648555.38,95
"142",598754.8315,4648559.245,95
"143",598758.6531,4648557.18,95
"144",598757.4303,4648554.198,95
"145",598759.9821,4648552.539,95
"146",598763.7153,4648556.827,95
"147",598766.2729,4648554.745,95
"148",598752.3859,4648553.28,95
"149",598652.7149,4648583.666,95
"150",598756.7334,4648558.848,95
"151",598751.7244,4648555.389,95
"152",598754.9435,4648551.198,95
"153",598760.4667,4648563.136,95
"154",598754.9081,4648553.739,95
