"","x","y","nlcd_extract_65"
"1",350273.9427,4773349.637,42
"2",350269.5929,4773214.514,42
"3",350296.9786,4773226.913,42
"4",350219.3345,4773335.947,42
"5",350285.5406,4773321.605,42
"6",350889.0937,4772191.761,95
"7",350126.802,4773449.087,52
"8",350189.7506,4773408.817,42
"9",350229.9948,4773387.6,42
"10",350257.7497,4773294.438,42
"11",350224.6652,4773330.275,42
"12",350263.2827,4773297.983,42
"13",350266.2925,4773312.695,42
"14",350228.3295,4773311.75,42
"15",350243.6259,4773392.856,42
"16",350234.9623,4773306.049,42
"17",350238.1782,4773267.091,42
"18",350248.3483,4773296.422,42
"19",350248.5531,4773305.751,42
"20",350273.577,4773332.979,42
"21",350255.3883,4773309.267,42
"22",350238.9095,4773300.407,42
"23",350306.0087,4773267.38,95
"24",350254.0048,4773309.298,42
"25",350255.3883,4773309.267,42
"26",350255.3883,4773309.267,42
"27",350253.9633,4773307.41,42
"28",350254.0048,4773309.298,42
"29",350254.0048,4773309.298,42
"30",350246.0312,4773253.919,42
"31",350255.3078,4773305.603,42
"32",350254.0048,4773309.298,42
"33",350252.6612,4773307.438,42
"34",350174.5777,4773274.043,52
"35",350251.2777,4773307.469,42
"36",350251.441,4773314.909,42
"37",350252.7027,4773309.326,42
"38",350267.8807,4773321.993,42
"39",350260.9213,4773312.813,42
"40",350226.9471,4773248.783,42
"41",350252.7441,4773311.214,42
"42",350292.7429,4773278.782,95
"43",350265.3175,4773268.273,42
"44",350215.7565,4773295.36,42
"45",350294.9022,4773254.735,52
"46",350163.9589,4773161.28,52
"47",350242.8994,4773233.655,42
"48",350254.0048,4773309.298,42
"49",350257.6278,4773288.886,42
"50",350265.6831,4773284.931,42
"51",350254.0462,4773311.186,42
"52",350253.9243,4773305.633,42
"53",350271.749,4773249.688,42
