"","x"
"1",29.4833333333333
"2",30
"3",30.3833333333333
"4",29.55
"5",30.05
"6",30.5
"7",29.45
"8",26.0666666666667
"9",484.616666666667
"10",29.3333333333333
"11",30.0666666666667
"12",30.3666666666667
"13",29.5833333333333
"14",30.6333333333333
"15",29.35
"16",30.5333333333333
"17",30
"18",30
"19",29.6166666666667
"20",29.9166666666667
"21",29.9166666666667
"22",30.55
"23",30.0333333333333
"24",29.4666666666667
"25",30
"26",30.5333333333333
"27",29.4833333333333
"28",30.4833333333333
"29",29.4833333333333
"30",29.9833333333333
"31",30.5333333333333
"32",29.55
"33",30.45
"34",29.55
"35",29.9666666666667
"36",30.5166666666667
"37",29.5
"38",30.0166666666667
"39",30.0833333333333
"40",30.5
"41",25.2
"42",484.466666666667
"43",30.2
"44",29.4333333333333
"45",30.2
"46",29.8
"47",30
"48",30.2
"49",29.8
"50",30.05
"51",30.55
"52",29.8666666666667
"53",29.6
"54",29.9166666666667
"55",30.5833333333333
"56",29.45
"57",29.95
"58",30.6
"59",29.45
"60",30
"61",30.3166666666667
"62",30.05
"63",30.3166666666667
"64",30
"65",29.3333333333333
"66",30.1666666666667
"67",30.3666666666667
"68",29.4833333333333
"69",29.9666666666667
"70",30.4666666666667
"71",29.55
"72",30.5333333333333
"73",29.4166666666667
"74",26.95
"75",484.5
"76",28.6166666666667
"77",30
"78",30.5166666666667
"79",29.5333333333333
"80",29.95
"81",30.05
"82",30.4666666666667
"83",29.5
"84",30.05
"85",30.75
"86",29.2166666666667
"87",29.9666666666667
"88",30.5166666666667
"89",30
"90",29.6
"91",30.8
"92",29.1333333333333
"93",30
"94",30.5666666666667
"95",29.4333333333333
"96",30.1166666666667
"97",31.2166666666667
"98",30
"99",28.6833333333333
"100",30.1
"101",30.35
"102",29.5166666666667
"103",30
"104",30.1333333333333
"105",30.4166666666667
"106",30
"107",25.9833333333333
"108",484.35
"109",29.7333333333333
"110",29.6166666666667
"111",30
"112",30.4166666666667
"113",29.55
"114",30.0166666666667
"115",30.3833333333333
"116",29.6
"117",30.7833333333333
"118",29.1833333333333
"119",30.0333333333333
"120",30.4166666666667
"121",29.6166666666667
"122",30.75
"123",29.2
"124",30.05
"125",30.75
"126",29.2666666666667
"127",30.2166666666667
"128",31.0666666666667
"129",28.6666666666667
"130",30.4166666666667
"131",30
"132",29.7
"133",29.95
"134",30.3833333333333
"135",29.8333333333333
"136",29.7
"137",30.4333333333333
"138",29.8666666666667
"139",29.6833333333333
"140",27.45
"141",483.266666666667
"142",29.7
"143",29.4833333333333
"144",30.1
"145",30.45
"146",29.45
"147",30.0166666666667
"148",30.4
"149",30.1333333333333
"150",29.4833333333333
"151",30
"152",30.4833333333333
"153",29.5666666666667
"154",30.3333333333333
"155",30.1333333333333
"156",30
"157",29.5166666666667
"158",30.35
"159",29.65
"160",30.35
"161",30.1333333333333
"162",29.5166666666667
"163",30.1166666666667
"164",30.6333333333333
"165",29.6
"166",29.6666666666667
"167",30.4666666666667
"168",29.4833333333333
"169",30.0166666666667
"170",30.5
"171",29.5
"172",30.3666666666667
"173",26.7333333333333
"174",483.9
"175",29.4
"176",29.9833333333333
"177",30.1333333333333
"178",29.8666666666667
"179",30.55
"180",29.5
"181",30.4333333333333
"182",29.55
"183",30.1166666666667
"184",30.4333333333333
"185",29.45
"186",30.0166666666667
"187",30.5666666666667
"188",29.3666666666667
"189",30.05
"190",30.5833333333333
"191",29.45
"192",30.0166666666667
"193",30.4
"194",30.1
"195",29.45
"196",30.5833333333333
"197",29.8833333333333
"198",30.1
"199",29.4333333333333
"200",30.45
"201",29.6666666666667
"202",29.9666666666667
"203",30.5
"204",29.4
"205",30.0333333333333
"206",27.5833333333333
"207",482.85
"208",29.4333333333333
"209",29.9666666666667
"210",30.2333333333333
"211",29.8166666666667
"212",29.9833333333333
"213",30.2
"214",29.8333333333333
"215",30.1
"216",30.4333333333333
"217",29.5
"218",30
"219",30.5666666666667
"220",29.5666666666667
"221",29.7833333333333
"222",29.9833333333333
"223",30.5
"224",29.5666666666667
"225",29.9833333333333
"226",30.6833333333333
"227",29.5
"228",30.5
"229",29.4
"230",30.9666666666667
"231",29.5166666666667
"232",29.65
"233",30.3333333333333
"234",29.4333333333333
"235",30.4833333333333
"236",29.6333333333333
"237",30.5166666666667
"238",29.5666666666667
"239",27.3
"240",483.7
"241",29.3
"242",30.2
"243",29.8
"244",30.7
"245",29.2333333333333
"246",30.0333333333333
"247",30.2333333333333
"248",29.7833333333333
"249",30.05
"250",30.5333333333333
"251",29.45
"252",29.9833333333333
"253",30.7
"254",29.2833333333333
"255",30.5833333333333
"256",29.6333333333333
"257",29.8
"258",30.0666666666667
"259",30.4
"260",30.8666666666667
"261",29.2333333333333
"262",29.4166666666667
"263",30.55
"264",29.4833333333333
"265",30.2333333333333
"266",29.9833333333333
"267",29.8333333333333
"268",30.6333333333333
"269",29.2666666666667
"270",31.1
"271",28.9333333333333
"272",27.2666666666667
"273",483.933333333333
"274",29.1166666666667
"275",30
"276",30.3833333333333
"277",29.6166666666667
"278",30.0166666666667
"279",30.5
"280",29.4666666666667
"281",30.0333333333333
"282",30.3666666666667
"283",29.6833333333333
"284",29.9
"285",30.6833333333333
"286",29.4666666666667
"287",30.6333333333333
"288",29.6333333333333
"289",29.6333333333333
"290",30.0666666666667
"291",30.6666666666667
"292",29.2666666666667
"293",30.05
"294",30.0666666666667
"295",30.2
"296",30.15
"297",30.0833333333333
"298",29.8166666666667
"299",29.8666666666667
"300",29.75
"301",30.3833333333333
"302",29.6333333333333
"303",30.3666666666667
"304",29.65
"305",27.5166666666667
"306",482.683333333333
"307",30.15
"308",29.45
"309",29.9833333333333
"310",30.5333333333333
"311",29.45
"312",30.05
"313",30.5333333333333
"314",29.8666666666667
"315",29.6666666666667
"316",29.9333333333333
"317",30.5333333333333
"318",29.8666666666667
"319",30.0666666666667
"320",30.0666666666667
"321",29.55
"322",29.9666666666667
"323",30.4833333333333
"324",29.55
"325",29.9666666666667
"326",30.85
"327",29.1333333333333
"328",30.3666666666667
"329",30
"330",29.6
"331",29.9833333333333
"332",29.9833333333333
"333",31.0666666666667
"334",29.5
"335",29.4833333333333
"336",30.3833333333333
"337",30.1333333333333
"338",26.2833333333333
"339",485.083333333333
"340",28.8666666666667
"341",30
"342",30.7
"343",29.5666666666667
"344",29.75
"345",30.6166666666667
"346",29.6333333333333
"347",29.7
"348",30.0166666666667
"349",30.7166666666667
"350",29.3166666666667
"351",30.25
"352",30
"353",30.1666666666667
"354",30.2
"355",29.3666666666667
"356",30
"357",30.4333333333333
"358",30.7
"359",29.05
"360",30.2
"361",30.25
"362",29.6333333333333
"363",30.0166666666667
"364",30.75
"365",29.1666666666667
"366",30.4333333333333
"367",30
"368",30.1333333333333
"369",29.4833333333333
"370",30.0166666666667
"371",27
"372",483
"373",29.4333333333333
"374",30.0333333333333
"375",30.5333333333333
"376",29.3666666666667
"377",30.0166666666667
"378",30.4833333333333
"379",29.55
"380",30
"381",30.05
"382",30.0166666666667
"383",30.4833333333333
"384",29.9166666666667
"385",29.5166666666667
"386",30.7666666666667
"387",29.35
"388",30.35
"389",29.6
"390",30.4
"391",30.1333333333333
"392",29.45
"393",29.9666666666667
"394",30.45
"395",29.6333333333333
"396",30
"397",30.9333333333333
"398",29.4333333333333
"399",29.6
"400",31.0333333333333
"401",28.9333333333333
"402",30.5666666666667
"403",29.4833333333333
"404",26.9166666666667
"405",484.6
"406",29.4
"407",30.05
"408",30.55
"409",29.4333333333333
"410",30.0166666666667
